Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2014,AQS,371830014,3,18.6,ug/m3 LC,65,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/2/2014,AQS,371830014,3,13.9,ug/m3 LC,55,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/3/2014,AQS,371830014,3,8.2,ug/m3 LC,34,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/4/2014,AQS,371830014,3,11.9,ug/m3 LC,50,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/5/2014,AQS,371830014,3,11.3,ug/m3 LC,47,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/6/2014,AQS,371830014,3,8.2,ug/m3 LC,34,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/7/2014,AQS,371830014,3,10.8,ug/m3 LC,45,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/8/2014,AQS,371830014,3,16.3,ug/m3 LC,60,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/9/2014,AQS,371830014,3,13.6,ug/m3 LC,54,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/10/2014,AQS,371830014,3,12.2,ug/m3 LC,51,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/11/2014,AQS,371830014,3,4.5,ug/m3 LC,19,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/12/2014,AQS,371830014,3,8.2,ug/m3 LC,34,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/13/2014,AQS,371830014,3,9.4,ug/m3 LC,39,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/14/2014,AQS,371830014,3,9.1,ug/m3 LC,38,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/17/2014,AQS,371830014,3,13.5,ug/m3 LC,54,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/18/2014,AQS,371830014,3,10,ug/m3 LC,42,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/19/2014,AQS,371830014,3,11.9,ug/m3 LC,50,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/20/2014,AQS,371830014,3,12.1,ug/m3 LC,51,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/21/2014,AQS,371830014,3,14,ug/m3 LC,55,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/22/2014,AQS,371830014,3,10.3,ug/m3 LC,43,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/23/2014,AQS,371830014,3,12.8,ug/m3 LC,52,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/24/2014,AQS,371830014,3,10.9,ug/m3 LC,45,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/25/2014,AQS,371830014,3,12.5,ug/m3 LC,52,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/26/2014,AQS,371830014,3,12.7,ug/m3 LC,52,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/27/2014,AQS,371830014,3,13,ug/m3 LC,53,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/28/2014,AQS,371830014,3,7.3,ug/m3 LC,30,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
1/29/2014,AQS,371830014,3,13.2,ug/m3 LC,53,Millbrook School,1,100,88101,PM2.5 - Local Conditions,37,North Carolina,183,Wake,35.856111,-78.574167
