STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01
USW00013722,"RALEIGH AIRPORT, NC US",1/1/2014,2.46,0,0,0,38,51,29,8.9,13,
USW00013722,"RALEIGH AIRPORT, NC US",1/2/2014,2.68,0.33,0,0,42,49,37,13,21.9,1
USW00013722,"RALEIGH AIRPORT, NC US",1/3/2014,7.38,0,0,0,34,43,22,21.9,32,
USW00013722,"RALEIGH AIRPORT, NC US",1/4/2014,2.24,0,0,0,27,38,19,8.1,13,
USW00013722,"RALEIGH AIRPORT, NC US",1/5/2014,4.92,0,0,0,44,62,37,16.1,21,
USW00013722,"RALEIGH AIRPORT, NC US",1/6/2014,13.65,0.13,0,0,51,61,16,30,38.9,1
USW00013722,"RALEIGH AIRPORT, NC US",1/7/2014,7.61,0,0,0,18,25,9,16.1,25.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/8/2014,2.91,0,0,0,25,43,15,10.1,13,
USW00013722,"RALEIGH AIRPORT, NC US",1/9/2014,2.46,0,0,0,36,54,25,8.9,14.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/10/2014,3.58,0.57,0,0,42,45,39,10.1,14.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/11/2014,10.29,0.28,0,0,54,69,45,59.9,86.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/12/2014,5.82,0,0,0,52,58,39,16.1,25.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/13/2014,7.16,0,0,0,46,62,33,21,25.9,
USW00013722,"RALEIGH AIRPORT, NC US",1/14/2014,2.91,0.3,0,0,51,54,38,12.1,16.1,1
USW00013722,"RALEIGH AIRPORT, NC US",1/15/2014,4.47,0,0,0,44,59,33,17,23.9,
USW00013722,"RALEIGH AIRPORT, NC US",1/16/2014,3.8,0.07,0,0,39,44,32,12.1,17,
USW00013722,"RALEIGH AIRPORT, NC US",1/17/2014,9.17,0,0,0,39,56,29,21,25.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/18/2014,6.71,0,0,0,38,47,27,17,23.9,
USW00013722,"RALEIGH AIRPORT, NC US",1/19/2014,8.5,0,0,0,38,54,30,17,25.9,
USW00013722,"RALEIGH AIRPORT, NC US",1/20/2014,8.05,0,0,0,43,64,30,18.1,23.9,
USW00013722,"RALEIGH AIRPORT, NC US",1/21/2014,4.92,0.1,0.5,0,42,51,26,17,28,1
USW00013722,"RALEIGH AIRPORT, NC US",1/22/2014,4.47,0,0,0,26,30,18,13,19.9,1
USW00013722,"RALEIGH AIRPORT, NC US",1/23/2014,4.7,0,0,0,25,38,16,15,21.9,
USW00013722,"RALEIGH AIRPORT, NC US",1/24/2014,6.26,0,0,0,20,27,11,14.1,23,
USW00013722,"RALEIGH AIRPORT, NC US",1/25/2014,15.21,0,0,0,26,40,18,25.1,33.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/26/2014,8.5,0,0,0,37,52,22,19.9,25.1,
USW00013722,"RALEIGH AIRPORT, NC US",1/27/2014,9.62,0,0,0,51,65,33,18.1,23.9,
USW00013722,"RALEIGH AIRPORT, NC US",1/28/2014,8.28,0.18,1.2,0,31,33,18,15,23,1
USW00013722,"RALEIGH AIRPORT, NC US",1/29/2014,4.03,0,0.2,1.2,21,27,14,10.1,15,1
USW00013722,"RALEIGH AIRPORT, NC US",1/30/2014,1.79,0,0,1.2,21,38,7,12.1,17,
USW00013722,"RALEIGH AIRPORT, NC US",1/31/2014,2.01,0,0,0,29,53,15,8.9,13,
USW00013722,"RALEIGH AIRPORT, NC US",2/1/2014,2.91,0,0,0,39,59,24,12.1,15,1
USW00013722,"RALEIGH AIRPORT, NC US",2/2/2014,8.05,0,0,0,49,64,41,18.1,25.1,
USW00013722,"RALEIGH AIRPORT, NC US",2/3/2014,9.62,0.18,0,0,54,64,40,21,30,1
USW00013722,"RALEIGH AIRPORT, NC US",2/4/2014,7.61,0.48,0,0,39,40,38,16.1,21,1
USW00013722,"RALEIGH AIRPORT, NC US",2/5/2014,4.7,0.06,0,0,41,53,38,12.1,19.9,
USW00013722,"RALEIGH AIRPORT, NC US",2/6/2014,3.58,0,0,0,39,42,31,10.1,18.1,
USW00013722,"RALEIGH AIRPORT, NC US",2/7/2014,2.91,0,0,0,40,52,35,10.1,16.1,
USW00013722,"RALEIGH AIRPORT, NC US",2/8/2014,2.46,0,0,0,40,50,34,8.9,17,
USW00013722,"RALEIGH AIRPORT, NC US",2/9/2014,3.13,0,0,0,39,55,29,15,19.9,1
USW00013722,"RALEIGH AIRPORT, NC US",2/10/2014,2.91,0.08,0,0,40,43,35,13,16.1,1
USW00013722,"RALEIGH AIRPORT, NC US",2/11/2014,7.16,0,0,0,33,35,25,14.1,18.1,
USW00013722,"RALEIGH AIRPORT, NC US",2/12/2014,10.96,0.64,3.3,0,26,30,23,17,29.1,
USW00013722,"RALEIGH AIRPORT, NC US",2/13/2014,6.71,0.39,0.4,1.2,31,36,30,16.1,23,
USW00013722,"RALEIGH AIRPORT, NC US",2/14/2014,8.95,0,0,1.2,39,56,27,16.1,19.9,
USW00013722,"RALEIGH AIRPORT, NC US",2/15/2014,6.49,0.27,0,0,42,45,32,21.9,36,1
USW00013722,"RALEIGH AIRPORT, NC US",2/16/2014,4.47,0,0,0,38,53,29,16.1,23,1
USW00013722,"RALEIGH AIRPORT, NC US",2/17/2014,6.26,0,0,0,37,45,28,15,21.9,
USW00013722,"RALEIGH AIRPORT, NC US",2/18/2014,4.03,0,0,0,46,65,35,14.1,21.9,
